DATE,OPEN,HIGH,LOW,CLOSE
06/05/2022,103.558,104.061,103.186,103.732
05/05/2022,102.677,103.942,102.352,103.553
04/05/2022,103.464,103.615,102.457,102.511
03/05/2022,103.596,103.673,103.036,103.456
02/05/2022,103.263,103.747,103.107,103.604
29/04/2022,103.673,103.673,102.818,103.262
28/04/2022,103.037,103.928,102.979,103.670
27/04/2022,102.277,103.282,102.222,102.995
26/04/2022,101.727,102.363,101.510,102.300
25/04/2022,101.160,101.856,101.061,101.736
22/04/2022,100.620,101.331,100.473,101.160
21/04/2022,100.349,100.638,99.818,100.626
20/04/2022,100.980,101.035,100.220,100.343
19/04/2022,100.771,101.028,100.696,100.998
18/04/2022,100.525,100.864,100.459,100.834
15/04/2022,100.423,100.587,100.397,100.525
14/04/2022,99.792,100.761,99.571,100.339
13/04/2022,100.341,100.523,99.832,99.849
12/04/2022,100.035,100.333,99.740,100.314
11/04/2022,99.743,100.049,99.615,99.976
08/04/2022,99.823,100.189,99.620,99.745
07/04/2022,99.650,99.832,99.399,99.749
06/04/2022,99.471,99.769,99.313,99.624
05/04/2022,98.997,99.524,98.838,99.481
04/04/2022,98.632,99.082,98.519,98.990
01/04/2022,98.335,98.744,98.309,98.632
31/03/2022,97.833,98.396,97.690,98.349
30/03/2022,98.370,98.430,97.685,97.839
29/03/2022,99.076,99.295,98.037,98.410
28/03/2022,98.829,99.369,98.819,99.124
25/03/2022,98.749,98.855,98.400,98.829
24/03/2022,98.635,98.957,98.595,98.772
23/03/2022,98.475,98.883,98.388,98.613
22/03/2022,98.491,98.965,98.323,98.420
21/03/2022,98.252,98.528,98.157,98.478
18/03/2022,97.999,98.623,97.837,98.252
17/03/2022,98.503,98.508,97.727,98.017
16/03/2022,98.889,99.079,98.295,98.405
15/03/2022,99.126,99.200,98.638,99.014
14/03/2022,99.064,99.292,98.682,99.091
11/03/2022,98.514,99.157,98.267,99.064
10/03/2022,97.980,98.596,97.712,98.513
09/03/2022,99.093,99.116,97.853,97.980
08/03/2022,99.258,99.323,98.708,99.094
07/03/2022,98.570,99.418,98.570,99.258
04/03/2022,98.043,98.916,97.836,98.509
03/03/2022,97.471,97.953,97.429,97.725
02/03/2022,97.369,97.829,97.293,97.357
01/03/2022,96.765,97.576,96.626,97.392
28/02/2022,97.064,97.421,96.614,96.747
25/02/2022,97.003,97.248,96.523,97.065
24/02/2022,96.223,97.735,96.223,97.048
23/02/2022,96.040,96.236,95.848,96.197
22/02/2022,96.081,96.257,95.841,96.064
21/02/2022,96.140,96.151,95.686,96.136
18/02/2022,95.831,96.165,95.729,96.140
17/02/2022,95.772,96.107,95.711,95.805
16/02/2022,96.007,96.062,95.677,95.783
15/02/2022,96.244,96.287,95.957,95.985
14/02/2022,95.963,96.435,95.906,96.289
11/02/2022,95.941,96.111,95.641,95.962
10/02/2022,95.568,96.002,95.173,95.793
09/02/2022,95.589,95.674,95.383,95.558
