DATE,OPEN,HIGH,LOW,CLOSE
30/03/2022,14558.6,14609.25,14383.45,14442.27
29/03/2022,14500.4,14646.9,14419.4,14619.64
28/03/2022,14177.21,14356,14101.34,14354.9
25/03/2022,14194.7,14218.76,14010.79,14169.3
24/03/2022,14001.3,14193.55,13897.2,14191.84
23/03/2022,13990.4,14152.14,13921.65,13922.6
22/03/2022,13866.4,14141.07,13857.29,14108.82
21/03/2022,13860.39,13945.8,13682.55,13838.46
18/03/2022,13564.63,13899.28,13528.06,13893.84
17/03/2022,13360.72,13620.8,13317.14,13614.78
16/03/2022,13119.4,13440.12,12992.2,13436.55
15/03/2022,12685.2,12973.88,12616.59,12948.62
14/03/2022,12795.1,12918.01,12555.35,12581.22
11/03/2022,13229.8,13239.35,12830.37,12843.81
10/03/2022,13098.35,13163.5,12946.28,13129.96
09/03/2022,13113.7,13301.16,13039.79,13255.55
08/03/2022,12800.04,13159.44,12670.08,12795.55
07/03/2022,13328.4,13353.28,12828.02,12830.96
04/03/2022,13455.2,13486.71,13224.98,13313.44
03/03/2022,13837.6,13837.6,13472.64,13537.94
02/03/2022,13597.5,13796.55,13493.91,13752.02
01/03/2022,13716.7,13777.04,13441.32,13532.46
28/02/2022,13570.8,13810.64,13549.9,13751.4
25/02/2022,13485.3,13696.86,13358.29,13694.62
24/02/2022,12587.9,13486.11,12587.88,13473.58
23/02/2022,13511.7,13533.78,13032.17,13037.49
22/02/2022,13424.4,13618.71,13249.65,13381.52
18/02/2022,13735.4,13762.4,13465.56,13548.07
17/02/2022,14004.2,14020.82,13704.7,13716.72
16/02/2022,14038.9,14163.73,13931.99,14124.09
15/02/2022,13997.2,14142.49,13976.29,14139.76
14/02/2022,13769,13921.71,13664.76,13790.92
11/02/2022,14213.6,14246.7,13733.16,13791.15
10/02/2022,14228.7,14509.56,14118.2,14185.64
09/02/2022,14368.2,14490.72,14330.87,14490.37
08/02/2022,13984.4,14226.48,13934.78,14194.46
07/02/2022,14118.8,14236.31,13974.1,14015.67
04/02/2022,13958.5,14222.76,13850.39,14098.01
03/02/2022,14045.83,14207.88,13851.74,13878.82
02/02/2022,14494.5,14504.82,14264.65,14417.55
01/02/2022,14277.4,14358.69,14070.77,14346
31/01/2022,13812.19,14242.9,13767.71,14239.88
28/01/2022,13436.7,13771.91,13236.56,13770.57
27/01/2022,13711,13765.91,13322.66,13352.78
26/01/2022,13871.8,14002.65,13392.19,13542.12
25/01/2022,13610.9,13781.62,13414.14,13539.29
