DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
08/09/2021,35087.45,35175.15,34925.61,35031.07,261876
07/09/2021,35373.24,35373.24,35060.9,35100,290727
06/09/2021,N/A,N/A,N/A,N/A,N/A
03/09/2021,35401.73,35422.71,35269.4,35369.09,223386
02/09/2021,35353.06,35475.4,35348.48,35443.82,265178
01/09/2021,35387.55,35407.37,35287.05,35312.53,266572
31/08/2021,35391.38,35449.79,35289.86,35360.73,337243
30/08/2021,35471.8,35510.71,35374.46,35399.84,246807
27/08/2021,35231.11,35479.18,35231.11,35455.8,242140
26/08/2021,35449.68,35498.45,35205.1,35213.12,239931
25/08/2021,35388.77,35501.14,35287.63,35405.5,239707
24/08/2021,35382.72,35445.47,35356.18,35366.26,230481
23/08/2021,35160.97,35428.91,35160.97,35335.71,250960
20/08/2021,34917.96,35177.26,34867.07,35120.08,269545
19/08/2021,34874.67,34997.81,34690.25,34894.12,335046
18/08/2021,35310.2,35356.8,34943.41,34960.69,291062
17/08/2021,35500.01,35500.01,35120.31,35343.28,310152
16/08/2021,35490.83,35631.19,35231.87,35625.4,294011
13/08/2021,35551.56,35610.57,35474.78,35515.38,238678
12/08/2021,35481.94,35510.77,35352.53,35499.85,236163
11/08/2021,35300.89,35501.16,35300.89,35484.97,233041
10/08/2021,35135.17,35285.16,35091.91,35264.67,255240
09/08/2021,35229.67,35229.67,35041.24,35101.85,207850
06/08/2021,35077.44,35246.79,35077.44,35208.51,231565
05/08/2021,34815.61,35067.54,34815.61,35064.25,217389
04/08/2021,35047.44,35047.44,34790.62,34792.67,245303
03/08/2021,34864.1,35120.94,34714.33,35116.4,259822
02/08/2021,34968.56,35192.11,34808.2,34838.16,244889
30/07/2021,35013.26,35106.3,34871.13,34935.47,281141
29/07/2021,34985.99,35171.52,34985.99,35084.53,223665
28/07/2021,35109.95,35116.37,34876.84,34930.93,347172
27/07/2021,35078.9,35078.9,34878.07,35058.52,335249
26/07/2021,35055.86,35150.37,34950.19,35144.31,264800
23/07/2021,34855.11,35095.33,34855.11,35061.55,315059
22/07/2021,34799.68,34879.28,34673.03,34823.35,294650
21/07/2021,34556.96,34820.24,34556.96,34798,327186
20/07/2021,33981.79,34621.79,33981.79,34511.99,388075
19/07/2021,34528.48,34528.48,33741.76,33962.04,450161
16/07/2021,35007.94,35090.01,34647.82,34687.85,328984
15/07/2021,34924.81,34990.41,34762.87,34987.02,320445
14/07/2021,34920.83,35069.18,34826.87,34933.23,348660
13/07/2021,34959.96,35018.79,34876.89,34888.79,323682
12/07/2021,34836.75,35014.9,34730.15,34996.18,302280
09/07/2021,34457.51,34893.72,34457.51,34870.16,301753
08/07/2021,34569.01,34569.01,34145.59,34421.93,335759
07/07/2021,34604.17,34708.78,34435.59,34681.79,305379
06/07/2021,34790.16,34814.2,34358.42,34577.37,348429
05/07/2021,N/A,N/A,N/A,N/A,N/A
02/07/2021,34642.42,34821.93,34613.49,34786.35,303059
01/07/2021,34507.32,34640.28,34498.85,34633.53,269311
30/06/2021,34290.74,34553.16,34245.48,34502.51,298634
29/06/2021,34338.89,34469.83,34266.83,34292.29,288645
28/06/2021,34428.1,34449.65,34186.13,34283.27,281286
25/06/2021,34328.1,34501.02,34314.8,34433.84,456029
24/06/2021,33933.91,34233.02,33933.91,34196.82,279381
23/06/2021,33948.54,34009.4,33869.83,33874.24,257053
22/06/2021,33872.56,34040.7,33751.06,33945.58,285329
21/06/2021,33312.07,33908.09,33312.07,33876.97,324444
